,masterid,SiteYear,MeanSurvival,CtrlAdjSurvival,csci,ASCI.hybrid,PyrethroidSum,huc,smcshed,smc_lu,latitude,longitude,probabilistic
5156,SMC00632,SMC00632_2011,NA,NA,0.49038395,0.60237455,NA,412,Los Angeles,SMC_out,34.14874,-118.55604,TRUE
5157,SMC00665,SMC00665_2011,NA,NA,0.52167578,0.53381392,NA,903,Northern San Diego,Urban,33.274,-117.23159,TRUE
5158,SMC00670,SMC00670_2009,NA,NA,0.67496792,0.62372134,NA,845,San Gabriel,Urban,33.86925,-117.90916,TRUE
5159,SMC00670,SMC00670_2015,NA,NA,0.57497012,NA,NA,845,San Gabriel,Urban,33.86925,-117.90916,TRUE
5160,SMC00684,SMC00684_2011,NA,NA,0.43670957,0.95446328,NA,412,Los Angeles,Urban,34.09698,-118.02373,TRUE
5161,SMC00686,SMC00686_2011,NA,NA,0.46519239,0.74577728,NA,405,San Gabriel,SMC_out,34.0322,-117.83819,TRUE
5162,SMC00686,SMC00686_2019,NA,NA,NA,0.68017916,NA,405,San Gabriel,SMC_out,34.0322,-117.83819,TRUE
5163,SMC00693,SMC00693_2010,NA,NA,0.94300173,0.67936652,NA,903,Northern San Diego,Agricultural,33.2964,-117.08556,TRUE
5164,SMC00702,SMC00702_2011,NA,NA,0.4961407,0.80267077,NA,845,San Gabriel,Urban,33.87795,-118.00297,TRUE
5165,SMC00710,SMC00710_2009,NA,NA,0.65998032,0.81256757,NA,906,Central San Diego,Urban,32.88934,-117.20028,TRUE
5166,SMC00729,SMC00729_2009,NA,NA,0.68225708,0.63164274,NA,904,Central San Diego,Urban,33.13525,-117.17488,TRUE
5167,SMC00748,SMC00748_2011,NA,NA,0.27648349,0.87042214,NA,412,Los Angeles,SMC_out,34.07548,-118.0788,TRUE
5169,SMC00756,SMC00756_2005,NA,NA,0.18323535,NA,NA,412,Los Angeles,Urban,34.14956,-118.39156,TRUE
5171,SMC00756,SMC00756_2009,NA,NA,0.66090668,NA,NA,412,Los Angeles,Urban,34.14956,-118.39156,TRUE
5173,SMC00756,SMC00756_2018,NA,NA,0.50073045,NA,NA,412,Los Angeles,Urban,34.14956,-118.39156,TRUE
5174,SMC00766,SMC00766_2011,NA,NA,0.55493073,0.4515421,0.025,801,Lower Santa Ana,Urban,33.65718,-117.83739,TRUE
5175,SMC00827,SMC00827_2009,NA,NA,1.01782875,0.95890817,NA,403,Santa Clara,Open,34.55734,-119.18833,TRUE
5176,SMC00830,SMC00830_2011,NA,NA,0.39062057,0.75778935,NA,412,Los Angeles,Urban,33.94305,-118.16606,TRUE
