StationCode,ChannelClass_3ef,Latitude,Longitude,Distance to upstream undeveloped,comments
412M08597,Hardened,34.15524,-118.43907,>15km,
412M08599,Hardened,34.10602,-118.24338,>15km,
412M08602,Hardened,33.97131,-118.16996,>15km,
412WE0552,Natural,34.23908,-118.18059,,
412WE0896,Natural,34.28771,-118.23008,,
SMCR8_203,Natural,34.18658,-116.91801,,
801M12611,All or partially earthen,33.80456,-117.86822,,
801M12617,Hardened,33.65489,-117.77451,-99,ended in developed area
801M12625,Hardened,33.69499,-117.93471,>15km,
801M16861,Natural,33.89732,-117.36136,,
801M16873,Hardened,33.90145,-117.4664,>15km,
SMCR8_069,Natural,34.2481,-117.51276,,
SMC00766,All or partially earthen,33.65718,-117.83739,,
SMC00899,Hardened,33.71747,-117.7888,-99,ended in developed area
SMC01923,All or partially earthen,33.67221,-117.78872,,
SMC02206,All or partially earthen,33.87098,-117.85002,,
SMC02947,All or partially earthen,33.69919,-117.81143,,
SMC03438,All or partially earthen,33.93708,-117.79252,,
SMC03971,All or partially earthen,33.67551,-117.82775,,
SMC05230,All or partially earthen,33.87308,-117.75077,,
SMC05379,Hardened,33.72777,-117.77913,-99,ended in developed area
SMC06302,All or partially earthen,33.86699,-117.85366,,
SMC07085,Hardened,33.88382,-117.51705,>15km,
SMC08094,All or partially earthen,33.81951,-117.8536,,
SMC08414,Hardened,33.79629,-117.81995,>15km,
SMC11181,Hardened,33.88882,-117.50296,-99,ended in developed area
SMC16045,Hardened,33.8819,-117.52249,-99,ended in developed area
SMC18169,All or partially earthen,33.89175,-117.57191,,
SMC21371,All or partially earthen,33.8945,-117.57861,,
SMC24921,Hardened,33.87828,-117.55361,>15km,
801SANT1x,Natural,33.70885,-117.61456,,
SMC29064,Natural,33.79564,-116.7426,,
SMC35837,Natural,33.7364,-116.8261,,
802SJN851,Natural,33.74022,-116.79492,,
845PS0011,Hardened,33.88053,-117.89742,-99,ended in developed area
SMC00702,Hardened,33.87795,-118.00297,>15km,
SMC00958,All or partially earthen,33.82532,-117.99894,,
SMC01662,Hardened,33.9248,-117.95665,-99,ended in developed area
901CSCADC,Natural,33.49366,-117.43071,,
901DCCSMC,Natural,33.47303,-117.4659,,
901M14118,Natural,33.6098,-117.62739,,
901M14124,Hardened,33.43535,-117.62556,-99,ended in developed area
901NP9LCC,Natural,33.62752,-117.42857,,
901PS0057,All or partially earthen,33.52977,-117.66957,,
SMC01257,All or partially earthen,33.60842,-117.61859,,
SMC01555,Hardened,33.54998,-117.77966,3.5km,
SMC01934,All or partially earthen,33.49,-117.66595,,
SMC01987,All or partially earthen,33.59028,-117.71185,,
902DLCDLM,Natural,33.45958,-117.29053,,
902M18864,Natural,33.49207,-117.24653,,
902M20161,Natural,33.4187,-117.14103,,
902RCWGRx,Natural,33.40725,-117.19969,,
902RCBWGR,Natural,33.40772,-117.2023,,
SMC04661,Natural,33.40606,-117.22499,,
SMC05165,Natural,33.58183,-117.25571,,
SMC08157,Natural,33.53913,-117.26484,,
SMC09325,Natural,33.56252,-117.12886,,
SMC11593,Natural,33.4646,-117.27796,,
902SMSND3,Natural,33.41521,-117.24661,,
902WE0888,Natural,33.45407,-117.30182,,
903ACPCT1,Natural,33.29595,-116.63863,,
903CVPCT,Natural,33.26801,-116.6394,,
903FRC,Natural,33.35652,-116.91283,,
903M20124,Natural,33.29947,-117.08415,,
903M20153,Natural,33.31876,-117.10161,,
903NP9SLR,Natural,33.34992,-116.6649,,
SMC00665,Natural,33.274,-117.23159,,
SMC00857,All or partially earthen,33.24609,-117.30088,,
SMC01413,Natural,33.30552,-116.80627,,
SMC01689,Natural,33.26814,-117.23574,,
SMC02145,Natural,33.26934,-117.03146,,
903SLFRCx,Natural,33.3441,-116.88046,,
903SLKYS3,Natural,33.28908,-117.07136,,
903SLSLR3,Natural,33.26236,-116.80819,,
903WE0798,Natural,33.33669,-116.82848,,
903WE0900,Natural,33.33052,-116.81511,,
904CBAHC6,All or partially earthen,33.14887,-117.29758,,
904CBESC6,Natural,33.07156,-117.16444,,
904CBESC8,Natural,33.03393,-117.23565,,
904M21713,Hardened,33.11944,-117.09511,-99,ended in developed area
904M21720,Natural,33.15678,-117.28243,,
SMC00345,Natural,33.21048,-117.22484,,
SMC02417,Hardened,33.13385,-117.06236,-99,ended in developed area
904CBSAM5,Natural,33.08855,-117.24526,,
SMC03737,Hardened,33.11968,-117.09259,-99,ended in developed area
SMC03929,Natural,33.17865,-117.30453,,
SMC04121,Natural,33.18466,-117.19833,,
904WE1125,Natural,33.09896,-117.12876,,
904WE1131,Natural,33.0682,-117.16872,,
905BCC,Natural,33.13086,-116.79575,,
905CE0512,Natural,33.11137,-116.74386,,
905DGCC1x,Natural,33.15771,-116.84084,,
905DGUT1x,Natural,33.17601,-116.85052,,
905KCCSDx,Natural,33.06756,-117.06606,,
905M21721,Natural,33.00843,-117.16525,,
905PS0026,Natural,33.10697,-116.86545,,
SMC01174,Natural,33.01677,-117.01646,,
SMC03222,Hardened,33.02209,-117.06725,-99,ended in developed area
905SDBDN9,Natural,33.09184,-116.89774,,
905SDGVC2,Natural,33.04335,-117.07563,,
905SDISS2,Natural,33.13428,-116.5971,,
905WE0679,Natural,33.13163,-116.6544,,
905WE1018,Natural,33.12423,-116.68157,,
906CCECRx,Natural,32.96208,-117.09339,,
906LPLPC6,Natural,32.9072,-117.23055,,
906LPRSC4,Natural,32.83703,-117.23178,,
906M23302,Natural,32.81736,-117.19986,,
906M23318,Natural,32.8249,-117.23035,,
SMC02902,Natural,32.94907,-117.06443,,
907BCT,Natural,32.96654,-116.65211,,
907CONECR,Natural,32.89028,-116.76306,,
